Oc1c2ccccc2ccc1[S](O)(=O)=O,1,9.03
Oc1cc(Br)cc(Br)c1,1,8.06
Oc1cc(I)cc(I)c1,1,8.10
Oc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,1,6.73
Oc1cc(cc2cc(ccc12)[S](O)(=O)=O)[S](O)(=O)=O,1,8.07
Oc1cc(cc2cccc(c12)[S](O)(=O)=O)[S](O)(=O)=O,1,11.40
Oc1cc(cc2ccccc12)[S](O)(=O)=O,1,8.43
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,1,5.25
ON(c1ccccc1)C(=O)c2ccccc2,1,8.07
ON1C(=O)CCCC1=O,1,7.65
ON=C(c1occc1)C(=NO)c2occc2,1,9.73
ON=O,1,3.01
ONC(/c1ccccc1)=C(N=O)\c2ccccc2,1,10.23
ONC(=O)c1ccccc1,1,8.73
ONC1=C(CCCC1)N=O,1,10.63
ONC1=C(CCCCC1)N=O,1,10.57
OCc1[nH]c2ccccc2n1,1,5.28
OCc1[nH]ccn1,1,7.66
OCc1c[nH]cn1,1,6.75
OCc1cccc(CO)n1,1,4.39
OCc1ccccn1,1,5.01
OCc1cccnc1,1,5.02
OCc1ccncc1,1,5.42
ON(C(=O)C=Cc1ccccc1)c2ccccc2,1,8.80
CC(C)C[S](CC(C)C)[P](O)(O)=S,1,0.04
CC(C)N,1,10.66
CC(C)Nc1ccccc1,1,5.66
CC(C)S,1,10.86
CC(C)SCC(O)=O,1,3.69
CC(C)[C@H](N)C(N)=O,1,7.72
CC(C)[N+]([O-])=O,1,7.70
CC(C)c1[nH]ccn1,1,7.77
O[C@@H]1CCCC[C@H]1C(O)=O,1,4.59
O[C@@H]1CCC[C@@H](C1)C(O)=O,1,4.51
O[C@@H]1CC[C@H](CC1)C(O)=O,1,4.58
O[C@H]1CCCC[C@H]1C(O)=O,1,4.64
O[C@H]1CCC[C@@H](C1)C(O)=O,1,4.67
O[C@H]1CC[C@H](CC1)C(O)=O,1,4.74
O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(=O)O[P](O)(O)=O)n2cnc3C(=O)N=CNc23,1,6.94
O[PH2]=O,1,1.13
CC1(C)CC(=O)CC(=O)C1,1,5.23
CC1=C(O)C(=O)C=CO1,1,8.55
CC1=CC(=CC(=O)O1)O,1,4.76
CC1=CC(=O)C(=CO1)O,1,8.06
CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,1,9.67
CC1=CNC(=O)NC1=O,1,9.83
OC1=COC=CC1=O,1,7.84
OC1CC(=CC(O)C1O)C(O)=O,1,4.01
CC(CO)(CO)C(O)=O,1,4.52
