SMILES,pKa_num,pKa_value
CNC(=O)[C@@H](N)CC(C)C,1,[7.72]
CNC(=O)[C@@H](N)CCSC,1,[7.33]
CNC(=O)[C@H](CCSC)NC(=O)[C@@H](N)Cc1ccccc1,1,[7.15]
COC(=O)C(C)N,1,[7.76]
Nc1ccc(cc1)[S](O)(=O)=O,1,[3.01]
Nc1cccc(c1)[S](O)(=O)=O,1,[3.55]
N[C@@H](CO)C(N)=O,1,[7.18]
NCCO,1,[9.52]
NCCc1ccccc1,1,[9.92]
NCc1ccc(cc1)C#N,1,[8.61]
NCc1ccc(cc1)C(F)(F)F,1,[8.84]
NCc1ccccc1,1,[9.4]
Nc1ncnc2nc[nH]c12,1,[4.22]
O=C(CC(=O)c1occc1)c2occc2,1,[8.15]
O=C1CCNCCNC(=O)CC(=O)NCCN1,1,[8.26]
N[C@@H](Cc1ccccc1)C(N)=O,1,[7.26]
N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,1,[7.57]
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,1,[7.58]
N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O,1,[7.72]
Nc1ccc(Br)cn1,1,[4.91]
COC(=O)CNC(=O)CN,1,[7.78]
COC(=O)CS,1,[7.99]
COC(=O)C[C@H](N)C([O-])=O,1,[8.5]
COC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,1,[7.3]
COC(=O)[C@@H](N)Cc1ccccc1,1,[7.03]
COC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]2CCC(=O)N2,1,[6.34]
COC(=O)c1ccc2cccc(O)c2n1,1,[9.14]
COC1(C=CC=CC1O)N=O,1,[6.38]
NCC(=O)N1CCC[C@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCC(O)=O,1,[8.64]
COC(=O)C(O)Cc1c[nH]cn1,1,[6.73]
COC(=O)C1=C(O)C(=O)C(=C1C(=O)OC)C(=O)OC,1,[7.84]
COC(=O)CCC(N)C(=O)OC,1,[7.03]
COC(=O)CCCN,1,[9.84]
COC(=O)CCN,1,[9.17]
COC(=O)CN,1,[7.66]
COC(=O)CN(C)C(=O)CN,1,[8.01]
NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,1,[4.09]
NC1=NC(=O)NC=C1,1,[4.57]
NC1=Nc2nc[nH]c2C(=O)N1,1,[9.42]
NC1CCCC1,1,[10.63]
NC1CCCCC1,1,[10.62]
NCC#N,1,[5.15]
NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(O)=O,1,[8.33]
NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(O)=O,1,[8.29]
NCCC(N)=O,1,[9.2]
NCCCCCc1ccccc1,1,[10.55]
NCC(=O)NCC(=O)NCC(N)=O,1,[7.75]
NCC(=O)NCC(N)=O,1,[7.78]
NCC(=O)NCCC(N)=O,1,[7.83]
NCC(N)=O,1,[7.98]
NCC(O)c1ccccc1,1,[8.79]
NCCC(=O)NCC(N)=O,1,[9.14]
NC(=O)Cc1ccncc1,1,[5.08]
NC(=O)[C@@H]1CCCN1,1,[8.69]
NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H]3CCC(=O)N3,1,[6.3]
NC(=O)c1ccccn1,1,[1.8]
NC(=O)c1cccnc1,1,[3.31]
NC(CO)(CO)CO,1,[8.1]
COc1ccc(N)cc1,1,[5.33]
COc1ccc(O)cc1,1,[9.96]
NC(=O)CCCc1ccccn1,1,[5.48]
NC(=O)CCCc1cccnc1,1,[5.33]
NC(=O)CCCc1ccncc1,1,[5.64]
NC(=O)CCc1ccccn1,1,[5.09]
NC(=O)CCc1cccnc1,1,[5.21]
NC(=O)CCc1ccncc1,1,[5.58]
NC(=O)Cc1ccccn1,1,[4.34]
NC(=O)Cc1cccnc1,1,[4.72]
FC1=CNC(=O)NC1=O,1,[7.85]
N,1,[9.26]
N#Cc1cccnc1,1,[1.64]
N(c1ccccn1)c2ccccn2,1,[7.03]
N=[N+]=[N-],1,[4.45]
NC(=O)CCCCc1ccccn1,1,[5.73]
NC(=O)CCCCc1cccnc1,1,[5.6]
NC(=O)CCCCc1ccncc1,1,[5.92]
COCC(O)=O,1,[3.32]
COCCN,1,[9.45]
CON,1,[4.62]
CON=C(C)C=NO,1,[10.45]
CO[P](O)(O)=O,1,[6.25]
COc1ccc(CCN)cc1OC,1,[9.87]
COc1ccc(CN)cc1,1,[9.56]
COc1ccc(N)c(N)c1,1,[5.1]
Cn1cnc2ncnc(N)c12,1,[4.13]
FC(F)(F)C(=O)CC(=O)c1ccc2ccccc2c1,1,[6.28]
FC(F)(F)C(=O)CC(=O)c1occc1,1,[6.22]
FC(F)(F)C(=O)CC(=O)c1sccc1,1,[6.28]
C[N+](C)(C)CCS,1,[7.88]
C[Se]c1cccc2cccnc12,1,[3.15]
Cc1[nH]c2ccccc2n1,1,[6.17]
Cc1[nH]cc(C)n1,1,[8.4]
Cn1cc2ccccc2n1,1,[2.0]
Cn1ccnc1,1,[7.1]
Cn1ccnc1S,1,[11.58]
Cn1cnc2C(=O)NC=Nc12,1,[9.22]
Cn1cnc2N=CNC(=O)c12,1,[9.07]
Cn1cnc2c(N)ncnc12,1,[3.9]
Cn1cnc2ccccc12,1,[5.56]
Cn1cnc2cncnc12,1,[2.77]
Cc1ccccc1O,1,[10.09]
Cc1ccccn1,1,[5.96]
Cc1cccnc1,1,[5.72]
Cc1ccnc(C)c1,1,[6.67]
Cc1ccnc(c1)c2cc(C)ccn2,1,[5.34]
Cc1ccnc2c1ccc3c(C)ccnc23,1,[5.95]
