Ligand,Name
"D-3,3'-Dithiobis(2-amino-3-methylbutanoic acid) (Penicillamine disulfide)",Penicillamine disulfide
"DL-4,4'-Dithiobis(2-aminobutanoic acid) (Homocystine)",Homocystine
"L-Methylenedithio-3,3'-bis(2-aminopropanoic acid) (Dienkolic acid)",Dienkolic acid
"L-Ethylenedithio-3,3'-bis(2-aminopropanoic acid)",2-aminopropanoic acid
"L-Trimethylenedithio-3,3'-bis(2-aminopropanoic acid)",2-aminopropanoic acid
"L-Tetramethylenedithio-3,3'-bis(2-aminopropanoic acid)",2-aminopropanoic acid
"L-2-Hydroxytrimethylenedithio-3,3'-bis(2-aminopropanoic acid)",2-aminopropanoic acid
L-2-Amino-3-(4-imidazolyl)propanoic acid (Histidine),Histidine
L-2-Amino-3-(N(1)-methyl-4-imidazolyl)propanoic acid (N(1)-Methyl-L-histidine),N(1)-Methyl-L-histidine
L-2-Amino-3-(N(3)-methyl-4-imidazolyl)propanoic acid (N(3)-Methyl-L-histidine),N(3)-Methyl-L-histidine
"L-4-(2-Amino-3-carboxypropyl)-1,3-dimethylimidazolium ion (N(1,3)-Dimethyl-L-histidine)","N(1,3)-Dimethyl-L-histidine"
L-1-Carboxy-2-(4-imidazolyl)ethyl(dimethyl)ammonium ion (N(alpha)-Dimethyl-L-histidine),N(alpha)-Dimethyl-L-histidine
L-1-Carboxy-2-(4-imidazolyl)ethyl(trimethyl)ammonium ion (N(alpha)-Trimethyl-L-histidine),N(alpha)-Trimethyl-L-histidine
L-2-Amino-3-(N(3)-benzyl-4-imidazolyl)propanoic acid (N(3)-Benzyl-L-histidine),N(3)-Benzyl-L-histidine
L-2-Amino-3-(5-iodo-4-imidazolyl)propanoic acid (5-Iodo-Histidine),5-Iodo-Histidine
"L-2-Amino-3-(2,5-diiodo-4-imidazolyl)propanoic acid (2,5-Diiodo-Histidine)","2,5-Diiodo-Histidine"
L-2-Amino-3-(3-indolyl)propanoic acid (Tryptophan),Tryptophan
L-2-Amino-3-(1-methyl-3-indolyl)propanoic acid (1-Methyltryptopan),1-Methyltryptopan
DL-2-Amino-3-(5-hydroxy-3-indolyl)propanoic acid (5-Hydroxytryptopan),5-Hydroxytryptopan
