Ligand,Name,smiles
"DL-2-Amino-3-(6-oxo-1,6-dihydro-2-pyridinyl)propanoic acid","6-oxo-1,6-dihydro-2-pyridinylpropanoic acid",
"L-2-Amino-3-(3-hydroxo-4-oxo-1,4-dihydro-1-pyridinyl)propanoic acid (Mimosine)",Mimosine,C1=CN(C=C(C1=O)O)CC(C(=O)O)N
"DL-2-Amino-3-(5-hydroxo-4-oxo-1,4-dihydro-2-pyridinyl)propanoic acid (Isomimosine)",Isomimosine,C1=C(NC=C(C1=O)O)CC(C(=O)O)N
"DL-2-Amino-3-(5-hydroxo-6-oxo-1,6-dihydro-2-pyridinyl)propanoic acid","5-hydroxo-6-oxo-1,6-dihydro-2-pyridinylpropanoic acid",
"L-2-Amino-3-(3-methoxy-4-oxo-1,4-dihydro-1-pyridinyl)propanoic acid (Mimosine methyl ether)",Mimosine methyl ether,
L-2-Amino-3-(2-pyridyl)propanoic acid (3-(2-Pyridyl)alanine),2-Pyridylalanine,
L-2-Amino-3-(6-methyl-2-pyridyl)propanoic acid (3-(6-Methyl-2-pyridyl)alanine),6-Methyl-2-pyridylalanine,
L-2-Amino-5-guanidopentanoic acid (Arginine),Arginine,C(CC(C(=O)O)N)CN=C(N)N
DL-2-Amino-3-(4-guanidinophenyl)propanoic acid,4-guanidinophenylpropanoic acid,
DL-2-Amino-3-(4-guanidinomethylphenyl)propanoic acid,4-guanidinomethylphenylpropanoic acid,
DL-2-Amino-3-(4-aminophenyl)propanoic acid,4-aminophenylpropanoic acid,CC(C1=CC=C(C=C1)N)C(=O)O
DL-2-Amino-3-(4-(aminomethyl)phenyl)propanoic acid,aminomethylphenylpropanoic acid,
DL-2-Amino-3-(4-(dimethylamino)phenyl)propanoic acid,dimethylaminophenylpropanoic acid,
L-[1-Carboxy-2-(4-hydroxyphenyl)ethyl]trimethylammonium (chloride) (Tyrosine betaine),Tyrosine betaine,C[N+](C)(C)CCC1=C(C=C(C=C1)[O-])C(=O)O
DL-(4-Amino-4-carboxybutyl)trimethylammonium ion (N(5)-Trimethylornithine),5-Trimethylornithine,
N-Methylglycine (Sarcosine),Sarcosine,CNCC(=O)O
N-Ethylglycine,N-Ethylglycine,CCNCC(=O)O
N-Propylglycine,N-Propylglycine,CCCNCC(=O)O
N-Butylglycine,N-Butylglycine,CCCCNCC(=O)O
N-(2-Propyl)glycine,2-Propylglycine,
L-Pyrrolidine-2-carboxylic acid (L-Proline),L-Proline,C1CC(NC1)C(=O)O
L-Piperidine-2-carboxylic acid (Pipecolic acid),Pipecolic acid,C1CCNC(C1)C(=O)O
2-Indolecarboxylic acid,2-Indolecarboxylic acid,C1=CC=C2C(=C1)C=C(N2)C(=O)O
DL-N-Benzylaminobutanedioic acid,DL-N-Benzylaminobutanedioic acid,
L-2-(Iminomethylamino)pentanedioic acid,Iminomethylaminopentanedioic acid,
S-(1-Carboxy-3-phenylpropyl)-L-alanyl-L-proline (Enalaprilat),Enalaprilat,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O
L-N-(2-Hydroxybenzyl)-2-aminopropanoic acid,2-Hydroxybenzyl-2-aminopropanoic acid,
N-(Phosphonomethyl)glycine (Glyphosate),Glyphosate,C(C(=O)O)NCP(=O)(O)O
(Carboxymethylamino)acetohydroxamic acid,Carboxymethylaminoacetohydroxamic acid,
(Carboxymethylamino)aceto-N-methylhydroxamic acid,Carboxymethylaminoaceto-N-methylhydroxamic acid,
