Ligand,Name,smiles
"1-Methyl-3-hydroxy-1,2-dihydropyridin-2-one","1-Methyl-3-hydroxy-1,2-dihydropyridin-2-one",
"1-Butyl-2,3-dihydroxypyridine (1-Butyl-3-hydroxy-1,2-dihydropyridin-2-one)","1-Butyl-3-hydroxy-1,2-dihydropyridin-2-one",
"3,4-Dihydroxypyridine (3-Hydroxy-1,4-dihydropyridin-4-one) (3,4-HOPO)","3,4-HOPO",
"2-Methyl-3,4-dihydroxypyridine (2-Methyl-3-hydroxy-1,4-dihydropyridin-4-one)","2-Methyl-3-hydroxy-1,4-dihydropyridin-4-one",
"1,2-Dimethyl-3,4-dihydroxypyridine (1,2-Dimethyl-3-hydroxy-1,4-dihydropyridin-4-one)","1,2-Dimethyl-3-hydroxy-1,4-dihydropyridin-4-one",
"1,2-Diethyl-3,4-dihydroxypyridine (1,2-Diethyl-3-hydroxy-1,4-dihydropyridin-4-one)","1,2-Diethyl-3-hydroxy-1,4-dihydropyridin-4-one",CCC1=C(C(=O)C=CN1CC)O
"1-Ethyl-2-methyl-3,4-dihydroxypyridine (1-Ethyl-2-methyl-3-hydroxy-1,4-dihydropyridin-4-one)","1-Ethyl-2-methyl-3-hydroxy-1,4-dihydropyridin-4-one",
"1-Hexyl-2-methyl-3,4-dihydroxypyridine (1-Hexyl-2-methyl-3-hydroxy-1,4-dihydropyridin-4-one)","1-Hexyl-2-methyl-3-hydroxy-1,4-dihydropyridin-4-one",
"1,2-Dihydroxypyridin-2-one","1,2-Dihydroxypyridin-2-one",
3-Hydroxy-N-methylpyridinium (chloride),chloride,[Cl-]
5-Hydroxy-2-methylpyridine,5-Hydroxy-2-methylpyridine,CC1=NC=C(C=C1)O
3-Hydroxy-2-hydroxymethylpyridine,3-Hydroxy-2-hydroxymethylpyridine,C1=CC(=C(N=C1)CO)O
3-Hydroxy-4-hydroxymethylpyridine,3-Hydroxy-4-hydroxymethylpyridine,
"3-Hydroxy-4-hydroxymethyl-2,5-dimethylpyridine (Deoxypyridoxine)",Deoxypyridoxine,CC1=C(C(=NC=C1CO)C)O
"3-Hydroxy-4,5-bis(hydroxymethyl)-2-methylpyridine (Pyridoxine)",Pyridoxine,CC1=NC=C(C(=C1O)CO)CO
"3-Hydroxy-4,5-bis(hydroxymethyl)-2,6-dimethylpyridine (6-Methylpyridoxine)",6-Methylpyridoxine,
Pyridine-2-carboxaldehyde,Pyridine-2-carboxaldehyde,C1=CC=NC(=C1)C=O
Pyridine-3-carboxaldehyde,Pyridine-3-carboxaldehyde,C1=CC(=CN=C1)C=O
Pyridine-4-carboxaldehyde,Pyridine-4-carboxaldehyde,C1=CN=CC=C1C=O
3-Methoxypyridine-2-carboxaldehyde,3-Methoxypyridine-2-carboxaldehyde,COC1=C(N=CC=C1)C=O
3-Methoxypyridine-4-carboxaldehyde,3-Methoxypyridine-4-carboxaldehyde,COC1=C(C=CN=C1)C=O
3-Hydroxypyridine-2-carboxaldehyde,3-Hydroxypyridine-2-carboxaldehyde,C1=CC(=C(N=C1)C=O)O
3-Hydroxypyridine-4-carboxaldehyde,3-Hydroxypyridine-4-carboxaldehyde,C1=CN=CC(=C1C=O)O
"3-Hydroxy-N,2,5-trimethyl-4-oxomethylpyridinium (chloride) (Deoxypyridoxal N-methochloride)",Deoxypyridoxal N-methochloride,
"3-Hydroxy-2,5-dimethylpyridine-4-carboxaldehyde (Deoxypyridoxal)",Deoxypyridoxal,
3-Hydroxy-5-hydroxymethyl-2-methylpyridine-4-carboxaldehyde (Pyridoxal),Pyridoxal,CC1=NC=C(C(=C1O)C=O)CO
5-Hydroxymethyl-2-methyl-3-methoxypyridine-4-carboxaldehyde (3-O-Methylpyridoxal),3-O-Methylpyridoxal,
3-Hydroxy-2-methyl-5-(2-carboxyethyl)pyridine-4-carboxaldehyde (5'-Carboxymethyl-5'-deoxypyridoxal),5'-Carboxymethyl-5'-deoxypyridoxal,
trans-3-Hydroxy-2-methyl-5-(2-carboxyethenyl)pyridine-4-carboxaldehyde (5'-Carboxymethylene-5'-deoxypyridoxal),5'-Carboxymethylene-5'-deoxypyridoxal,
3-Hydroxy-4-hydroxymethyl-2-methyl-5-(2-carboxyethyl)pyridine (5'-Carboxymethyl-5'-deoxypyridoxine),5'-Carboxymethyl-5'-deoxypyridoxine,
3-Hydroxy-2-methyl-5-(2-sulfonoethyl)pyridine-4-carboxaldehyde (5'-Sulfuryl-5'-deoxypyridoxal),5'-Sulfuryl-5'-deoxypyridoxal,
Pyridoxal-5'-(hydrogensulphate),hydrogensulphate,OS(=O)(=O)[O-]
Pyridoxal-5'-(dihydrogenphosphate),dihydrogenphosphate,OP(=O)(O)[O-]
"4-Aminomethyl-3-hydroxy-2,5-dimethylpyridine (5-Deoxypyridoxamine)",5-Deoxypyridoxamine,CC1=CN=C(C(=C1CN)O)C
4-Aminomethyl-3-hydroxy-5-hydroxymethyl-2-methylpyridine (Pyridoxamine),Pyridoxamine,CC1=NC=C(C(=C1O)CN)CO
Pyridoxamine-5'-(dihydrogenphosphate),dihydrogenphosphate,OP(=O)(O)[O-]
5-Aminomethyl-3-hydroxy-4-hydroxymethyl-2-methylpyridine-4'-(dihydrogenphosphate) (Isopyridoxaminephosphate),Isopyridoxaminephosphate,
"1,3-Dihydroxy-4-(2-pyridylazo)benzene (PAR)",PAR,CC1C(CC(C(O1)O)O)O
2-(2-Pyridylazo)-1-naphthol-4-sulfonic acid (1-PAN-4S),1-PAN-4S,
2-(Hydroxymethyl)pyridine,Hydroxymethylpyridine,C1=CC=NC(=C1)CO
2-(Hydroxymethyl)-6-methylpyridine,Hydroxymethyl-6-methylpyridine,
2-(2-Hydroxyethyl)pyridine,2-Hydroxyethylpyridine,C1=CC=NC(=C1)CCO
2-(2-Hydroxyethyl)-6-methylpyridine,2-Hydroxyethyl-6-methylpyridine,
2-(2-Hydroxypropyl)pyridine,2-Hydroxypropylpyridine,CC(CC1=CC=CC=N1)O
2-(2-Hydroxy-2-phenylethyl)pyridine,2-Hydroxy-2-phenylethylpyridine,
2-(3-Hydroxypropyl)pyridine,3-Hydroxypropylpyridine,
2-(4-Hydroxybutyl)pyridine,4-Hydroxybutylpyridine,
2-(5-Hydroxypentyl)pyridine,5-Hydroxypentylpyridine,
3-(Hydroxymethyl)pyridine,Hydroxymethylpyridine,C1=CC=NC(=C1)CO
3-(2-Hydroxyethyl)pyridine,2-Hydroxyethylpyridine,C1=CC=NC(=C1)CCO
3-(3-Hydroxypropyl)pyridine,3-Hydroxypropylpyridine,
3-(4-Hydroxybutyl)pyridine,4-Hydroxybutylpyridine,
3-(5-Hydroxypentyl)pyridine,5-Hydroxypentylpyridine,
4-(Hydroxymethyl)pyridine,Hydroxymethylpyridine,C1=CC=NC(=C1)CO
4-(2-Hydroxyethyl)pyridine,2-Hydroxyethylpyridine,C1=CC=NC(=C1)CCO
4-(3-Hydroxypropyl)pyridine,3-Hydroxypropylpyridine,
4-(4-Hydroxybutyl)pyridine,4-Hydroxybutylpyridine,
4-(5-Hydroxypentyl)pyridine,5-Hydroxypentylpyridine,
"2,6-Bis(hydroxymethyl)pyridine",hydroxymethylpyridine,C1=CC=NC(=C1)CO
3-Methoxypyridine,3-Methoxypyridine,COC1=CN=CC=C1
4-Methoxypyridine,4-Methoxypyridine,COC1=CC=NC=C1
"2,6-Dimethyl-4-methoxypyridine","2,6-Dimethyl-4-methoxypyridine",
"2,2,2',5'-Tetramethyl-1,3-dioxano[4,5-c]pyridine (5-Deoxyisopropylidenepyridoxine)",5-Deoxyisopropylidenepyridoxine,
"2,2,2'-Trimethyl-5'-hydroxymethyl-1,3-dioxano[4,5-c]pyridine (Isopropylidenepyridoxine)",Isopropylidenepyridoxine,
"Pyridine-2,6-dicarboxaldehyde","Pyridine-2,6-dicarboxaldehyde",C1=CC(=NC(=C1)C=O)C=O
2-Acetylpyridine,2-Acetylpyridine,CC(=O)C1=CC=CC=N1
3-Acetylpyridine,3-Acetylpyridine,CC(=O)C1=CN=CC=C1
4-Acetylpyridine,4-Acetylpyridine,CC(=O)C1=CC=NC=C1
"3-Acetyl-2,4,6-trimethylpyridine","3-Acetyl-2,4,6-trimethylpyridine",CC1=CC(=NC(=C1C(=O)C)C)C
Pyridine-2-carboxylic acid methyl ester (Picolinic acid methyl ester),Picolinic acid methyl ester,COC(=O)C1=CC=CC=N1
Pyridine-3-carboxylic acid methyl ester (Nicotinic acid methyl ester),Nicotinic acid methyl ester,COC(=O)C1=CN=CC=C1
Pyridine-4-carboxylic acid methyl ester (Isonicotinic acid methyl ester),Isonicotinic acid methyl ester,COC(=O)C1=CC=NC=C1
"2,6-Dimethylpyridine-4-carboxylic acid ethyl ester","2,6-Dimethylpyridine-4-carboxylic acid ethyl ester",CCOC(=O)C1=CC(=NC(=C1)C)C
Pyridine-2-carboxylic acid amide (Picolinamide),Picolinamide,C1=CC=NC(=C1)C(=O)N
Pyridine-3-carboxylic acid amide (Nicotinamide),Nicotinamide,C1=CC(=CN=C1)C(=O)N
Pyridine-3-carboxylic acid methylamide,Pyridine-3-carboxylic acid methylamide,
Pyridine-3-carboxylic acid hydroxymethylamide,Pyridine-3-carboxylic acid hydroxymethylamide,
Pyridine-4-carboxylic acid amide (Isonicotinamide),Isonicotinamide,C1=CN=CC=C1C(=O)N
2-Pyridylacetic acid amide,2-Pyridylacetic acid amide,
3-Pyridylacetic acid amide,3-Pyridylacetic acid amide,
4-Pyridylacetic acid amide,4-Pyridylacetic acid amide,C1=CN=CC=C1CC(=O)N
3-(2-Pyridyl)propanoic acid amide,2-Pyridylpropanoic acid amide,
3-(3-Pyridyl)propanoic acid amide,3-Pyridylpropanoic acid amide,
3-(4-Pyridyl)propanoic acid amide,4-Pyridylpropanoic acid amide,
4-(2-Pyridyl)butanoic acid amide,2-Pyridylbutanoic acid amide,
4-(3-Pyridyl)butanoic acid amide,3-Pyridylbutanoic acid amide,
4-(4-Pyridyl)butanoic acid amide,4-Pyridylbutanoic acid amide,
5-(2-Pyridyl)pentanoic acid amide,2-Pyridylpentanoic acid amide,
5-(3-Pyridyl)pentanoic acid amide,3-Pyridylpentanoic acid amide,
5-(4-Pyridyl)pentanoic acid amide,4-Pyridylpentanoic acid amide,
2-(Acetamido)pyridine,Acetamidopyridine,CC(=O)NC1=CC=CC=N1
3-(Acetamido)pyridine,Acetamidopyridine,CC(=O)NC1=CC=CC=N1
Pyridine-2-carboxylic acid hydrazide (Picolinoylhydrazide),Picolinoylhydrazide,
Pyridine-3-carboxylic acid hydrazide (Nicotinoylhydrazide),Nicotinoylhydrazide,
Pyridine-4-carboxylic acid hydrazide (Isonicotinoylhydrazide),Isonicotinoylhydrazide,C1=CN=CC=C1C(=O)NN
Pyridine-4-carboxylic acid 1-methylhydrazide (1-Isonicotinoyl-1-methylhydrazide),1-Isonicotinoyl-1-methylhydrazide,
Pyridine-4-carboxylic acid 2-methylhydrazide (1-Isonicotinoyl-2-methylhydrazide),1-Isonicotinoyl-2-methylhydrazide,
N-(2-Pyridylmethyl)oxamide,2-Pyridylmethyloxamide,
Pyridine-3-hydroxamic acid,Pyridine-3-hydroxamic acid,
Pyridine-2-carboxaldehyde oxime,Pyridine-2-carboxaldehyde oxime,C1=CC=NC(=C1)C=NO
1-(2-Pyridyl)ethanone oxime,2-Pyridylethanone oxime,
6-Methylpyridine-2-carboxaldehyde oxime,6-Methylpyridine-2-carboxaldehyde oxime,
Pyridine-3-carboxaldehyde oxime,Pyridine-3-carboxaldehyde oxime,
Pyridine-4-carboxaldehyde oxime,Pyridine-4-carboxaldehyde oxime,
"Pyridine-2,6-dicarboxaldehyde dioxime","Pyridine-2,6-dicarboxaldehyde dioxime",
2-Mercaptopyridine-N-oxide,2-Mercaptopyridine-N-oxide,C1=CC(=S)N(C=C1)O
2-(Methylsulfonamidomethyl)pyridine,Methylsulfonamidomethylpyridine,
2-(Methylthiomethyl)pyridine,Methylthiomethylpyridine,
2-[Ethylthiomethyl]pyridine,2-[Ethylthiomethyl]pyridine,
2-[2-(Methylthio)ethyl]pyridine,Methylthioethyl]pyridine,
2-[2-(Ethylthio)ethyl]pyridine,Ethylthioethyl]pyridine,
2-[2-Hydroxyethylthiomethyl]pyridine,2-[2-Hydroxyethylthiomethyl]pyridine,
2-[2-(2-Hydroxyethylthio)ethyl]pyridine,2-Hydroxyethylthioethyl]pyridine,
2-[2-Aminoethylthiomethyl]pyridine,2-[2-Aminoethylthiomethyl]pyridine,
2-[3-Aminopropylthiomethyl]pyridine,2-[3-Aminopropylthiomethyl]pyridine,
2-[2-(2-Aminoethylthio)ethyl]pyridine,2-Aminoethylthioethyl]pyridine,
2-[2-(3-Aminopropylthio)ethyl]pyridine,3-Aminopropylthioethyl]pyridine,
2-(2-Thienyl)pyridine,2-Thienylpyridine,C1=CC=NC(=C1)C2=CC=CS2
3-(2-Thienyl)pyridine,2-Thienylpyridine,C1=CC=NC(=C1)C2=CC=CS2
4-(2-Thienyl)pyridine,2-Thienylpyridine,C1=CC=NC(=C1)C2=CC=CS2
2-(3-Thienyl)pyridine,3-Thienylpyridine,
3-(3-Thienyl)pyridine,3-Thienylpyridine,
4-(3-Thienyl)pyridine,3-Thienylpyridine,
"2-(2-Pyridyl)-1,3-thiazole","2-Pyridyl-1,3-thiazole",
"4-(2-Pyridyl)-1,3-thiazole","2-Pyridyl-1,3-thiazole",
"5-(2-Pyridyl)-1,3-thiazole","2-Pyridyl-1,3-thiazole",
2-Aminopyridine,2-Aminopyridine,C1=CC=NC(=C1)N
2-Amino-3-methylpyridine,2-Amino-3-methylpyridine,CC1=C(N=CC=C1)N
2-Amino-4-methylpyridine,2-Amino-4-methylpyridine,CC1=CC(=NC=C1)N
2-Amino-5-methylpyridine,2-Amino-5-methylpyridine,CC1=CN=C(C=C1)N
2-Aminopyridine 1-oxide,2-Aminopyridine 1-oxide,C1=CC(=N)N(C=C1)O
3-Aminopyridine,3-Aminopyridine,C1=CC(=CN=C1)N
4-Aminopyridine,4-Aminopyridine,C1=CN=CC=C1N
2-(Aminomethyl)pyridine (2-Picolylamine),2-Picolylamine,C1=CC=NC(=C1)CN
2-Aminomethyl-6-methylpyridine,2-Aminomethyl-6-methylpyridine,CC1=NC(=CC=C1)CN
3-(Aminomethyl)pyridine,Aminomethylpyridine,C1=CC=NC(=C1)CN
4-(Aminomethyl)pyridine,Aminomethylpyridine,C1=CC=NC(=C1)CN
2-(2-Aminoethyl)pyridine,2-Aminoethylpyridine,C1=CC=NC(=C1)CCN
3-(2-Aminoethyl)pyridine,2-Aminoethylpyridine,C1=CC=NC(=C1)CCN
4-(2-Aminoethyl)pyridine,2-Aminoethylpyridine,C1=CC=NC(=C1)CCN
2-(3-Aminopropyl)pyridine,3-Aminopropylpyridine,
3-(3-Aminopropyl)pyridine,3-Aminopropylpyridine,
4-(3-Aminopropyl)pyridine,3-Aminopropylpyridine,
2-(4-Aminobutyl)pyridine,4-Aminobutylpyridine,
3-(4-Aminobutyl)pyridine,4-Aminobutylpyridine,
4-(4-Aminobutyl)pyridine,4-Aminobutylpyridine,
2-(5-Aminopentyl)pyridine,5-Aminopentylpyridine,
3-(5-Aminopentyl)pyridine,5-Aminopentylpyridine,
4-(5-Aminopentyl)pyridine,5-Aminopentylpyridine,
N-(2-Aminoethyl)pyridinium (nitrate),nitrate,[N+](=O)([O-])[O-]
N-(3-Aminopropyl)pyridinium (nitrate),nitrate,[N+](=O)([O-])[O-]
N-(4-Aminobutyl)pyridinium (nitrate),nitrate,[N+](=O)([O-])[O-]
N-(5-Aminopentyl)pyridinium (nitrate),nitrate,[N+](=O)([O-])[O-]
2-Amino-5-bromopyridine,2-Amino-5-bromopyridine,C1=CC(=NC=C1Br)N
2-Amino-3-nitropyridine,2-Amino-3-nitropyridine,C1=CC(=C(N=C1)N)[N+](=O)[O-]
2-Amino-5-nitropyridine,2-Amino-5-nitropyridine,C1=CC(=NC=C1[N+](=O)[O-])N
3-Amino-2-nitropyridine,3-Amino-2-nitropyridine,C1=CC(=C(N=C1)[N+](=O)[O-])N
4-Amino-3-nitropyridine,4-Amino-3-nitropyridine,C1=CN=CC(=C1N)[N+](=O)[O-]
2-Hydrazinopyridine (2-Pyridylhydrazine),2-Pyridylhydrazine,C1=CC=NC(=C1)NN
"2-Amino-3-aminomethyl-4,6-dimethylpyridine","2-Amino-3-aminomethyl-4,6-dimethylpyridine",CC1=CC(=NC(=C1CN)N)C
2-Amino-3-aminomethyl-6-methyl-4-methoxymethylpyridine,2-Amino-3-aminomethyl-6-methyl-4-methoxymethylpyridine,
2-Amino-3-aminomethyl-4-methyl-6-methoxymethylpyridine,2-Amino-3-aminomethyl-4-methyl-6-methoxymethylpyridine,
"2,6-Bis(aminomethyl)pyridine",aminomethylpyridine,C1=CC=NC(=C1)CN
"2,6-Bis(2-aminoethyl)pyridine",2-aminoethylpyridine,C1=CC=NC(=C1)CCN
2-(Methylaminomethyl)pyridine,Methylaminomethylpyridine,
6-Methyl-2-(methylaminomethyl)pyridine,methylaminomethylpyridine,
2-[2-(Methylamino)ethyl]pyridine,Methylaminoethyl]pyridine,
2-[2-(2-Hydroxyethylamino)ethyl]pyridine,2-Hydroxyethylaminoethyl]pyridine,
Bis(2-hydroxyethyl)aminomethylpyridine,2-hydroxyethylaminomethylpyridine,
2-(2-Aminoethylaminomethyl)pyridine (N-2-Picolylethylenediamine),N-2-Picolylethylenediamine,
2-[2-(2-Aminoethylamino)ethyl]pyridine (N-[2-(2-Picolyl)ethyl]ethylenediamine),2-Picolylethyl]ethylenediamine,
"2,6-Bis[1-(2-aminoethylamino)ethyl]pyridine (epyden) (rac- or meso-isomer not specified)",rac- or meso-isomer not specified,
3-(Dimethylamino)pyridine,Dimethylaminopyridine,CN(C)C1=CC=CC=N1
"Pyridine-3-carboxylic acid diethylamide (N,N-Diethylnicotinamide)","N,N-Diethylnicotinamide",CCN(CC)C(=O)C1=CN=CC=C1
4-(Dimethylamino)pyridine,Dimethylaminopyridine,CN(C)C1=CC=CC=N1
2-[4-(Dimethylamino)phenylazo]pyridine,Dimethylaminophenylazo]pyridine,
Benzo[b]pyridine (Quinoline),Quinoline,C1=CC=C2C(=C1)C=CC=N2
Benzo[c]pyridine (Isoquinoline),Isoquinoline,C1=CC=C2C=NC=CC2=C1
8-Hydroxyquinoline (8-Quinolinol)(Oxine),Oxine,C1=CC2=C(C(=C1)O)N=CC=C2
8-Hydroxy-2-methylquinoline,8-Hydroxy-2-methylquinoline,CC1=NC2=C(C=CC=C2O)C=C1
5-Chloro-8-hydroxyquinoline,5-Chloro-8-hydroxyquinoline,C1=CC2=C(C=CC(=C2N=C1)O)Cl
"5,7-Dichloro-8-hydroxyquinoline","5,7-Dichloro-8-hydroxyquinoline",C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
5-Chloro-8-hydroxy-7-iodoquinoline,5-Chloro-8-hydroxy-7-iodoquinoline,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1
"5,7-Dibromo-8-hydroxyquinoline","5,7-Dibromo-8-hydroxyquinoline",C1=CC2=C(C(=C(C=C2Br)Br)O)N=C1
"5,7-Diiodo-8-hydroxyquinoline","5,7-Diiodo-8-hydroxyquinoline",C1=CC2=C(C(=C(C=C2I)I)O)N=C1
8-Hydroxy-5-nitroquinoline,8-Hydroxy-5-nitroquinoline,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-]
8-Hydroxyquinoline-5-sulfonic acid (Sulfoxine),Sulfoxine,C1=CC2=C(C=CC(=C2N=C1)O)S(=O)(=O)O
8-Hydroxy-2-methylquinoline-5-sulfonic acid,8-Hydroxy-2-methylquinoline-5-sulfonic acid,CC1=NC2=C(C=CC(=C2C=C1)S(=O)(=O)O)O
8-Hydroxy-7-iodoquinoline-5-sulfonic acid (Ferron),Ferron,C1=CC2=C(C(=C(C=C2S(=O)(=O)O)I)O)N=C1
8-Hydroxy-7-nitrosoquinoline-5-sulfonic acid,8-Hydroxy-7-nitrosoquinoline-5-sulfonic acid,C1=CC2=C(C=C(C(=C2N=C1)O)N=O)S(=O)(=O)O
8-Hydroxy-7-nitroquinoline-5-sulfonic acid,8-Hydroxy-7-nitroquinoline-5-sulfonic acid,C1=CC2=C(C=C(C(=C2N=C1)O)[N+](=O)[O-])S(=O)(=O)O
8-Hydroxy-7-(4-sulfo-1-naphthylazo)quinoline-5-sulfonic acid (SNAZOXS),SNAZOXS,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=CC(=C4C=CC=NC4=C3O)S(=O)(=O)[O-].[Na+].[Na+]
8-Hydroxy-7-(6-sulfo-2-naphthylazo)quinoline-5-sulfonic acid (Naphthylazoxine 6S),Naphthylazoxine 6S,
8-Hydroxy-7-(2-carboxyphenylazo)quinoline-5-sulfonic acid,2-carboxyphenylazoquinoline-5-sulfonic acid,
"8-Hydroxy-7-(8-hydroxy-3,6-disulfo-1-naphthylazo)quinoline-5-sulfonic acid","8-hydroxy-3,6-disulfo-1-naphthylazoquinoline-5-sulfonic acid",
8-Hydroxyquinoline-2-carboxylic acid methyl ester,8-Hydroxyquinoline-2-carboxylic acid methyl ester,
8-Mercaptoquinoline (Quinoline-8-thiol),Quinoline-8-thiol,C1=CC2=C(C(=C1)S)N=CC=C2
8-Mercapto-2-methylquinoline,8-Mercapto-2-methylquinoline,
8-Mercapto-2-phenylquinoline,8-Mercapto-2-phenylquinoline,
8-Mercapto-4-phenylquinoline,8-Mercapto-4-phenylquinoline,
8-Mercapto-5-phenylquinoline,8-Mercapto-5-phenylquinoline,
8-Mercapto-6-phenylquinoline,8-Mercapto-6-phenylquinoline,
"5,8-Dimercaptoquinoline","5,8-Dimercaptoquinoline",C1=CC2=C(C=CC(=C2N=C1)S)S
8-(Methylthio)quinoline,Methylthioquinoline,CSC1=NC2=CC=CC=C2C=C1
"1,2-Dimethylquinoline-4-thione (1-Methylquinaldine-4-thione)",1-Methylquinaldine-4-thione,
Quinoline-8-selenol,Quinoline-8-selenol,C1=CC2=C(C(=C1)[SeH])N=CC=C2
8-(Methylseleno)quinoline,Methylselenoquinoline,
8-Aminoquinoline,8-Aminoquinoline,C1=CC2=C(C(=C1)N)N=CC=C2
"2,2'-Bipyridyl","2,2'-Bipyridyl",C1=CC=NC(=C1)C2=CC=CC=N2
"2,3'-Bipyridyl","2,3'-Bipyridyl",C1=CC=NC(=C1)C2=CN=CC=C2
"2,4'-Bipyridyl","2,4'-Bipyridyl",C1=CC=NC(=C1)C2=CC=NC=C2
"3,3'-Bipyridyl","3,3'-Bipyridyl",C1=CC(=CN=C1)C2=CN=CC=C2
"3,4'-Bipyridyl","3,4'-Bipyridyl",
"4,4'-Bipyridyl","4,4'-Bipyridyl",C1=CN=CC=C1C2=CC=NC=C2
"4,4'-Dimethyl-2,2'-bipyridyl","4,4'-Dimethyl-2,2'-bipyridyl",CC1=CC(=NC=C1)C2=NC=CC(=C2)C
Methylenedi-2-pyridine (Di-2-pyridylmethane),Di-2-pyridylmethane,
"Ethylenedi-2-pyridine (1,2-Di-2-pyridylethane)","1,2-Di-2-pyridylethane",
"Trimethylenedi-2-pyridine (1,3-Di-2-pyridylpropane)","1,3-Di-2-pyridylpropane",
"Tetramethylenedi-2-pyridine (1,4-Di-2-pyridylbutane)","1,4-Di-2-pyridylbutane",
"Pentamethylenedi-2-pyridine (1,5-Di-2-pyridylpentane)","1,5-Di-2-pyridylpentane",
"Hexamethylenedi-2-pyridine (1,6-Di-2-pyridylhexane)","1,6-Di-2-pyridylhexane",C1=CC=NC(=C1)CCCCCCC2=CC=CC=N2
"trans-Vinylenedi-2-pyridine (1,2-Di-2-pyridylethene)","1,2-Di-2-pyridylethene",
"trans-Vinylenedi-4-pyridine (1,2-Di-4-pyridylethene)","1,2-Di-4-pyridylethene",C1=CN=CC=C1C=CC2=CC=NC=C2
Oxomethylenedi-2-pyridine (Di-2-pyridylcarbone),Di-2-pyridylcarbone,
"6,6'-Bis(aminomethyl)-2,2'-bipyridyl","aminomethyl-2,2'-bipyridyl",
Iminodi-2-pyridine (Di-2-pyridylamine),Di-2-pyridylamine,C1=CC=NC(=C1)NC2=CC=CC=N2
Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA),DPA,
Iminobis(methylene-3-pyridine),methylene-3-pyridine,
2-(2-Pyridylmethylenehydrazino)pyridine (Pyridine-2-aldehyde 2'-pyridylhydrazone),Pyridine-2-aldehyde 2'-pyridylhydrazone,C1=CC=NC(=C1)C=NNC2=CC=CC=N2
"Ethylenebis(aminomethylene-2-pyridine) (N,N'-Bis(2-pyridylmethyl)-1,2-diaminoethane)","2-pyridylmethyl-1,2-diaminoethane",
"Trimethylenebis(aminomethylene-2-pyridine) (N,N'-Bis(2-pyridylmethyl)-1,3-diaminopropane)","2-pyridylmethyl-1,3-diaminopropane",
"Tetramethylenebis(aminomethylene-2-pyridine) (N,N'-Bis(2-pyridylmethyl)-1,4-diaminobutane)","2-pyridylmethyl-1,4-diaminobutane",
"Pentamethylenebis(aminomethylene-2-pyridine) (N,N'-Bis(2-pyridylmethyl)-1,5-diaminopentane)","2-pyridylmethyl-1,5-diaminopentane",
"Hexamethylenebis(aminomethylene-2-pyridine) (N,N'-Bis(2-pyridylmethyl)-1,6-diaminohexane)","2-pyridylmethyl-1,6-diaminohexane",
"Ethylenebis(aminoethylene-2-pyridine) (N,N'-Bis(2-pyridylethyl)-1,2-diaminoethane)","2-pyridylethyl-1,2-diaminoethane",
"Ethylenebis(aminoethylene-3-pyridine) (N,N'-Bis(3-pyridylethyl)-1,2-diaminoethane)","3-pyridylethyl-1,2-diaminoethane",
"Oxybis(ethyleneaminomethylene-2-pyridine) (1,9-Di(2-pyridyl)-2,8-diaza-5-oxanonane)","2-pyridyl-2,8-diaza-5-oxanonane",
"Thiobis(ethyleneaminomethylene-2-pyridine) (1,9-Di(2-pyridyl)-2,8-diaza-5-thianonane)","2-pyridyl-2,8-diaza-5-thianonane",
"Dithiobis(ethyleneaminomethylene-2-pyridine) (1,10-Di(2-pyridyl)-2,9-diaza-5,6-dithiadecane)","2-pyridyl-2,9-diaza-5,6-dithiadecane",
"Dithiobis[ethyleneaminomethylene(6-methyl-2-pyridine)] (1,10-Bis(6-methyl-2-pyridyl)-2,9-diaza-5,6-dithiadecane)","6-methyl-2-pyridyl-2,9-diaza-5,6-dithiadecane",
"Oxamidobis(ethyleneaminomethylene-2-pyridine) (N,N'-Bis[2-(2-pyridylmethylamino)ethyl]oxamide)",2-pyridylmethylaminoethyl]oxamide,
"Iminobis(ethyleneaminomethylene-2-pyridine) (1,9-Di(2-pyridyl)-2,5,8-triazanonane)(PYDIEN)",PYDIEN,
"Iminobis(trimethyleneaminomethylene-2-pyridine) (1,11-Di(2-pyridyl)-2,6,10-triazaundecane)(PYDPT)",PYDPT,
"1,10-Phenanthroline (Dipyridino[a,c]benzene)","Dipyridino[a,c]benzene",
"2-Methyl-1,10-phenanthroline","2-Methyl-1,10-phenanthroline",CC1=NC2=C(C=C1)C=CC3=C2N=CC=C3
"5-Methyl-1,10-phenanthroline","5-Methyl-1,10-phenanthroline",CC1=CC2=C(C3=C1C=CC=N3)N=CC=C2
"2,9-Dimethyl-1,10-phenanthroline","2,9-Dimethyl-1,10-phenanthroline",CC1=NC2=C(C=C1)C=CC3=C2N=C(C=C3)C
"4,7-Dimethyl-1,10-phenanthroline","4,7-Dimethyl-1,10-phenanthroline",CC1=C2C=CC3=C(C=CN=C3C2=NC=C1)C
"5,6-Dimethyl-1,10-phenanthroline","5,6-Dimethyl-1,10-phenanthroline",CC1=C(C2=C(C3=C1C=CC=N3)N=CC=C2)C
