metal_ion,SMILES,pKa_num,pKa_value,predicted_positions
Ca2+,N[C@@H](CC(O)=O)C(O)=O,1,[1.7],[0]
Ca2+,N[C@@H](CCC(O)=O)C(O)=O,1,[1.43],[0]
Ca2+,N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(O)=O.O[P](O)([O-])=O,1,[2.14],[0]
Ca2+,N[C@@H](CO[P](O)(O)=O)C(O)=O,1,[1.9],[0]
Ca2+,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O,1,[3.953333333333333],[0]
Ca2+,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O,1,[2.8699999999999997],[0]
Ca2+,OC(=O)C1(CCC1)C(O)=O,1,[1.54],[8]
Ca2+,OC(=O)C1CCC(O1)C(O)=O,1,[3.06],[9]
Ca2+,OC(=O)CC(=C)C(O)=O,1,[1.2],[7]
Ca2+,OC(=O)CC(CC(O)=O)C(O)=O,1,[2.0433333333333334],[0]
Ca2+,OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,1,[4.58],[8]
Ca2+,OC(=O)CC(O)(CC(O)=O)C(O)=O,1,[3.5225],[0]
Ca2+,OC(=O)CC(O)=O,1,[1.65],[0]
Ca2+,OC(=O)CCC(=O)C(O)=O,1,[1.29],[8]
Ca2+,OC(=O)CCC(CCC(O)=O)C(O)=O,1,[1.66],[9]
Ca2+,OC(=O)CCC(O)=O,1,[1.405],[6]
Ca2+,OC(=O)CCCC(O)=O,1,[1.18],[0]
Ca2+,OC(=O)CC[P](O)(O)=O,1,[1.7],[0]
Ca2+,OC(=O)CN(CC(O)=O)CC(=O)c1ccccc1,1,[4.11],[4]
Ca2+,OC(=O)CN(CC(O)=O)CC(=O)c1sccc1,1,[4.26],[4]
Ca2+,OC(=O)CN(CC(O)=O)Cc1ccccn1,1,[4.89],[4]
Ca2+,OC(=O)CN(CC(O)=O)c1cc(ccc1C(O)=O)C(O)=O,1,[5.05],[19]
Ca2+,OC(=O)CN(CC(O)=O)c1ccc(Cl)cc1N(CC(O)=O)CC(O)=O,1,[8.17],[19]
Ca2+,OC(=O)CN(CC(O)=O)c1cccc(c1)N(CC(O)=O)CC(O)=O,1,[2.36],[0]
Ca2+,OC(=O)CN(CC(O)=O)c1ccccc1,1,[1.5],[7]
Ca2+,OC(=O)CN(CC(O)=O)c1ccccc1C(O)=O,1,[5.08],[16]
Ca2+,OC(=O)CN(CC(O)=O)c1ccccc1N(CC(O)=O)CC(O)=O,1,[8.6],[18]
Ca2+,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,1,[10.73],[7]
Ca2+,OC(=O)CNc1cc(C(O)=O)c(cc1C(O)=O)N(CC(O)=O)CC(O)=O,1,[5.75],[15]
Ca2+,OC(=O)COCC(O)=O,1,[-0.09499999999999997],[7]
Ca2+,OC(=O)COc1ccccc1,1,[0.65],[0]
Ca2+,OC(=O)C\C(=C/C(O)=O)C(O)=O,1,[1.57],[10]
Ca2+,OC(=O)[P](O)(O)=O,1,[3.57],[0]
Ca2+,OC(=O)\C=C/C(O)=O,1,[1.6800000000000002],[0]
Ca2+,OC(=O)c1cc(ccc1O)N=Nc2ccc(cc2)[S](O)(=O)=O,1,[3.1],[9]
Ca2+,OC(=O)c1ccc(cc1)C(O)=O,1,[1.4],[10]
Ca2+,OC(=O)c1ccccc1C(O)=O,1,[0.25],[10]
Ca2+,OC(=O)c1ccccn1,1,[1.8],[8]
Ca2+,OC(=O)c1oc(cc1)C(O)=O,1,[1.34],[9]
Ca2+,OC(C(CC(O)=O)C(O)=O)C(O)=O,1,[2.54],[11]
Ca2+,OC(CC(O)=O)C(O)=O,1,[1.98],[4]
Ca2+,OC(CNC(C(O)=O)C(O)=O)CNC(C(O)=O)C(O)=O,1,[3.08],[12]
Ca2+,OC1=CC=CC=CC1=O,1,[3.06],[0]
Ca2+,OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,1,[3.945],[14]
Ca2+,OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)n2cnc3C(=O)N=CNc23,1,[3.945],[14]
Ca2+,OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,1,[2.9],[10]
Ca2+,OCC(O)=O,1,[1.11],[3]
Ca2+,OCC(O)C(O)=O,1,[1.18],[5]
Ca2+,OCC(O[P](O)(=O)O[P](O)(O)=O)C(O)=O,1,[3.205],[13]
Ca2+,OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,1,[8.1],[6]
Ca2+,OCCN(CCO)Cc1ccccn1,1,[1.0],[13]
Ca2+,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,1,[1.21],[11]
Ca2+,OC[C@H]1O[C@H](O[P](O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,1,[1.77],[8]
Ca2+,OC[P](O)(O)=O,1,[1.775],[3]
Ca2+,O[C@@H]([C@H](O)C(O)=O)C(O)=O,1,[2.055],[5]
Ca2+,O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@@H](O)C=O,1,[1.48],[5]
Ca2+,O[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,1,[4.01],[11]
Ca2+,O[P](O)(=O)C(Cl)(Cl)Cl,1,[1.25],[0]
